"0","20160415","","5","0","0","on April 15, 2016","A1PT5ZOYP2Q9WO","Five Stars","Excellent"
"1","20160414","","5","0","0","on April 14, 2016","A1AL9RH4KSXVTP","A tiny factual error","I have always loved this book . . . but a butterfly does not come out of a cocoon -- it comes out of a chrysalis.  That is my only complaint.  Just the facts."
"2","20160413","","5","0","0","on April 13, 2016","A34LX0X59F0HSC","Love this book","Love that they made this with hard pages so I can read it to my 6 month old and he can grab it all he wants without tearing it."
"3","20160411","","5","0","0","on April 11, 2016","A3RQH9QZPHMZ35","Five Stars","Great book!"
"4","20160411","","5","0","0","on April 11, 2016","A2L7R0AEYBTH3Y","Five Stars","Very cute book!"
"5","20160411","","5","0","0","on April 11, 2016","A3E0HXHUA4UZRU","Five Stars","My son loves this book."
"6","20160410","","5","0","0","on April 10, 2016","A2NMWCLJ6OQLN5","Five Stars","Classic"
"7","20160410","","5","0","0","on April 10, 2016","ACJ65GN4QG6H1","I loved this book when i was younger and I was ...","I loved this book when i was younger and I was very excited to get it for my children. I purchased this book the same exact day i purchased a buttery fly garden from insect Lore. I felt like they went hand in hand.."
"8","20160410","","5","0","0","on April 10, 2016","AF92Z98TSTAK","Five Stars","One of my kid's favorites."
"9","20160409","","4","0","0","on April 9, 2016","A7LMUX88MFDKQ","... Caterpillar” when I was small and I have always loved the sweet nature of this book","I remembered always reading “The Very Hungry Caterpillar” when I was small and I have always loved the sweet nature of this book. I still love this book to this very day! “The Very Hungry Caterpillar” is a popular children’s book by Eric Carle and it is about how a very hungry caterpillar starts eating everything in its path. “The Very Hungry Caterpillar” is truly a cute and extraordinary book about food that children will love for many years!<br /><br />Eric Carle has certainly done a great job at both illustrating and writing this book. What I really enjoyed about this book was Eric Carle’s illustrations as they are extremely colorful and cute. I love the way that Eric Carle illustrated the caterpillar having a green long body and a red head and Eric Carle also did a great job at putting a surprised expression on the caterpillar’s face when it first got out of its egg. I also love the illustrations of the caterpillar eating any food item that it comes across such as an apple and a piece of chocolate cake and you can see the cut out holes in the middle of the images of the food items indicating that the caterpillar ate through each food item. I definitely enjoyed Eric Carle’s story of the caterpillar as it details the caterpillar’s extreme hunger whenever it ate through so many food items. Eric Carle makes the story extremely cute and hilarious as the caterpillar literally eats twice its weight and I found myself laughing at the different types of food that the caterpillar ate. Many children will be awed at how much food the caterpillar, even I was surprised at how much food the caterpillar ate and I was not so surprised when the caterpillar had a stomachache, which will teach children about the importance of not overeating so much."
"10","20160228","","5","0","0","on February 28, 2016","A3REXCEPLZ2YBG","Five Stars","The Baby loved it."
"11","20160227","","5","2","3","on February 27, 2016","A3UP85A580A0C9","every young child should have this at least once in his life","when i had my son i couldnt wait until he was to the point interest-wise where i could read this to him. he enjoyed it just as i thought he would in my opinion every young child should have this at least once in his life. just to point out this is NOT SHORTENED as alot of board books are. this is the full book, just a little sturdier than the regular paper page. the fact that it is a board book helps him take part in changing the pages not to mention he can do it himself if he wishes. the holes in the things he ate throughout the story also made it easier for even the younger crowd (under 2) to change the page aswel. he has demolished some board books if left to his own devices but this takes a licking and keeps on ticking as i write this he has had it for months and it absolutely looks like it did right after delivery (which by the way was extremely fast- came even earlier than it said it would)"
"12","20160226","","5","0","0","on February 26, 2016","A7BGLEXV79N4Z","Buy it","There is a reason why this is loved by children. My 2 year old son loves it and now has learnt the days and numbers from this book. It is an interesting story for kids and as a bonus they learn a few things too. I have never been into teaching my son numbers, alphabet, etc. at this age. But still he learnt a few things by just listening to this adorable book. The only problem is, now my son wants to eat salami and cherry pie to become big and turn into a butterfly."
"13","20160225","","5","0","0","on February 25, 2016","ACB68PPD1YAGK","Great board book to add to our growing library","Great board book to add to our growing library.  Its small enough to throw in my purse for errands too!"
"14","20160225","","5","0","0","on February 25, 2016","A20V5GP0PNHRZK","Five Stars","Bought this for my niece and nephew and they loved it. Also great quality!!!"
"15","20160225","","5","0","0","on February 25, 2016","A34MGOE4D8O61Z","Highly recommended!","Fun little book for my 3 year old granddaughter.  She also enjoys the counting.  The book is hardboard and there are little holes where in the middle and she loves to put her fingers in them and count.  It's an interesting layout - not like other books your kids have with different size pages and the little holes."
"16","20160225","","5","0","0","on February 25, 2016","A3KWS8OQFEVY6F","Five Stars","love"
